aeso_price,year,month,hour,day
29.95,2017,Aug,20,28
25.1,2017,Aug,21,28
25.22,2017,Aug,22,28
23.02,2017,Aug,23,28
20.81,2017,Aug,0,29
20.42,2017,Aug,1,29
19.74,2017,Aug,2,29
18.88,2017,Aug,3,29
18.46,2017,Aug,4,29
18.47,2017,Aug,5,29
18.48,2017,Aug,6,29
20.64,2017,Aug,7,29
20.43,2017,Aug,8,29
20.44,2017,Aug,9,29
20.45,2017,Aug,10,29
20.72,2017,Aug,11,29
22.23,2017,Aug,12,29
27.23,2017,Aug,13,29
27.76,2017,Aug,14,29
27.77,2017,Aug,15,29
28.78,2017,Aug,16,29
27.77,2017,Aug,17,29
27.77,2017,Aug,18,29
26.29,2017,Aug,19,29
23.14,2017,Aug,20,29
23.96,2017,Aug,21,29
27.59,2017,Aug,22,29
25.99,2017,Aug,23,29
19.88,2017,Aug,0,30
18.39,2017,Aug,1,30
18.36,2017,Aug,2,30
18.29,2017,Aug,3,30
18.29,2017,Aug,4,30
18.38,2017,Aug,5,30
18.39,2017,Aug,6,30
20.09,2017,Aug,7,30
20.42,2017,Aug,8,30
20.42,2017,Aug,9,30
20.6,2017,Aug,10,30
20.74,2017,Aug,11,30
24.9,2017,Aug,12,30
20.92,2017,Aug,13,30
22.06,2017,Aug,14,30
29.46,2017,Aug,15,30
32.33,2017,Aug,16,30
27.77,2017,Aug,17,30
27.77,2017,Aug,18,30
27,2017,Aug,19,30
20.51,2017,Aug,20,30
20.43,2017,Aug,21,30
20.45,2017,Aug,22,30
20.69,2017,Aug,23,30
19.73,2017,Aug,0,31
18.39,2017,Aug,1,31
17.38,2017,Aug,2,31
15.63,2017,Aug,3,31
16.24,2017,Aug,4,31
18.18,2017,Aug,5,31
18.28,2017,Aug,6,31
18.37,2017,Aug,7,31
18.35,2017,Aug,8,31
18.78,2017,Aug,9,31
20.18,2017,Aug,10,31
20.43,2017,Aug,11,31
20.67,2017,Aug,12,31
21.32,2017,Aug,13,31
21.4,2017,Aug,14,31
21.59,2017,Aug,15,31
23.35,2017,Aug,16,31
20.89,2017,Aug,17,31
22.77,2017,Aug,18,31
20.44,2017,Aug,19,31
20.43,2017,Aug,20,31
20.43,2017,Aug,21,31
22.26,2017,Aug,22,31
19.04,2017,Aug,23,31
18.34,2017,Sep,0,1
18.29,2017,Sep,1,1
16.77,2017,Sep,2,1
18.33,2017,Sep,3,1
18.39,2017,Sep,4,1
18.39,2017,Sep,5,1
18.65,2017,Sep,6,1
21.48,2017,Sep,7,1
19.68,2017,Sep,8,1
22.75,2017,Sep,9,1
25.78,2017,Sep,10,1
33.43,2017,Sep,11,1
29.44,2017,Sep,12,1
20.58,2017,Sep,13,1
19.88,2017,Sep,14,1
19.71,2017,Sep,15,1
19.86,2017,Sep,16,1
24.06,2017,Sep,17,1
27.77,2017,Sep,18,1
20.09,2017,Sep,19,1
19.71,2017,Sep,20,1
19.16,2017,Sep,21,1
19.14,2017,Sep,22,1
18.56,2017,Sep,23,1
18.38,2017,Sep,0,2
18.64,2017,Sep,1,2
20.07,2017,Sep,2,2
18.41,2017,Sep,3,2
18.39,2017,Sep,4,2
18.44,2017,Sep,5,2
18.87,2017,Sep,6,2
21.17,2017,Sep,7,2
17.73,2017,Sep,8,2
18.36,2017,Sep,9,2
18.39,2017,Sep,10,2
18.5,2017,Sep,11,2
20.02,2017,Sep,12,2
27.57,2017,Sep,13,2
27.55,2017,Sep,14,2
26.03,2017,Sep,15,2
27.77,2017,Sep,16,2
27.77,2017,Sep,17,2
30.99,2017,Sep,18,2
28.26,2017,Sep,19,2
27.26,2017,Sep,20,2
27.77,2017,Sep,21,2
25.75,2017,Sep,22,2
18.75,2017,Sep,23,2
20.34,2017,Sep,0,3
18.17,2017,Sep,1,3
15.8,2017,Sep,2,3
18.27,2017,Sep,3,3
18.77,2017,Sep,4,3
18.39,2017,Sep,5,3
18.39,2017,Sep,6,3
18.2,2017,Sep,7,3
16.68,2017,Sep,8,3
18.32,2017,Sep,9,3
18.48,2017,Sep,10,3
20.01,2017,Sep,11,3
26.93,2017,Sep,12,3
31.36,2017,Sep,13,3
38.92,2017,Sep,14,3
35.76,2017,Sep,15,3
29.12,2017,Sep,16,3
25.07,2017,Sep,17,3
26.04,2017,Sep,18,3
21.12,2017,Sep,19,3
19.15,2017,Sep,20,3
18.31,2017,Sep,21,3
21.9,2017,Sep,22,3
24.26,2017,Sep,23,3
23.11,2017,Sep,0,4
20.01,2017,Sep,1,4
18.57,2017,Sep,2,4
18.39,2017,Sep,3,4
18.39,2017,Sep,4,4
18.39,2017,Sep,5,4
18.39,2017,Sep,6,4
18.39,2017,Sep,7,4
18.36,2017,Sep,8,4
18.35,2017,Sep,9,4
18.39,2017,Sep,10,4
18.42,2017,Sep,11,4
18.51,2017,Sep,12,4
20.3,2017,Sep,13,4
20.47,2017,Sep,14,4
20.44,2017,Sep,15,4
21.59,2017,Sep,16,4
26.89,2017,Sep,17,4
27.77,2017,Sep,18,4
25.3,2017,Sep,19,4
22.4,2017,Sep,20,4
21.72,2017,Sep,21,4
20.06,2017,Sep,22,4
18.31,2017,Sep,23,4
18.29,2017,Sep,0,5
18.29,2017,Sep,1,5
17.98,2017,Sep,2,5
16.65,2017,Sep,3,5
15.9,2017,Sep,4,5
15.43,2017,Sep,5,5
15.71,2017,Sep,6,5
18.29,2017,Sep,7,5
18.09,2017,Sep,8,5
18.38,2017,Sep,9,5
18.43,2017,Sep,10,5
18.38,2017,Sep,11,5
17.91,2017,Sep,12,5
18.39,2017,Sep,13,5
18.39,2017,Sep,14,5
19.28,2017,Sep,15,5
20.23,2017,Sep,16,5
19.5,2017,Sep,17,5
20.43,2017,Sep,18,5
18.66,2017,Sep,19,5
18.41,2017,Sep,20,5
18.39,2017,Sep,21,5
18.3,2017,Sep,22,5
18.26,2017,Sep,23,5
18.27,2017,Sep,0,6
15.41,2017,Sep,1,6
15.41,2017,Sep,2,6
15.41,2017,Sep,3,6
15.41,2017,Sep,4,6
16.72,2017,Sep,5,6
18.33,2017,Sep,6,6
18.48,2017,Sep,7,6
18.49,2017,Sep,8,6
18.41,2017,Sep,9,6
18.52,2017,Sep,10,6
19.21,2017,Sep,11,6
20.43,2017,Sep,12,6
20.43,2017,Sep,13,6
21.94,2017,Sep,14,6
27.42,2017,Sep,15,6
27.71,2017,Sep,16,6
45.7,2017,Sep,17,6
49.45,2017,Sep,18,6
30.78,2017,Sep,19,6
27.78,2017,Sep,20,6
27.79,2017,Sep,21,6
27.16,2017,Sep,22,6
19.87,2017,Sep,23,6
18.81,2017,Sep,0,7
17.61,2017,Sep,1,7
18.41,2017,Sep,2,7
18.36,2017,Sep,3,7
18.28,2017,Sep,4,7
18.38,2017,Sep,5,7
18.41,2017,Sep,6,7
20.09,2017,Sep,7,7
18.38,2017,Sep,8,7
18.39,2017,Sep,9,7
18.94,2017,Sep,10,7
20.42,2017,Sep,11,7
20.54,2017,Sep,12,7
25.31,2017,Sep,13,7
27.77,2017,Sep,14,7
27.77,2017,Sep,15,7
27.77,2017,Sep,16,7
27.77,2017,Sep,17,7
27.57,2017,Sep,18,7
20.78,2017,Sep,19,7
19.46,2017,Sep,20,7
18.39,2017,Sep,21,7
18.31,2017,Sep,22,7
16.4,2017,Sep,23,7
15.86,2017,Sep,0,8
15.41,2017,Sep,1,8
15.41,2017,Sep,2,8
15.41,2017,Sep,3,8
15.41,2017,Sep,4,8
15.41,2017,Sep,5,8
17.92,2017,Sep,6,8
19.36,2017,Sep,7,8
18.37,2017,Sep,8,8
18.39,2017,Sep,9,8
20.13,2017,Sep,10,8
23.29,2017,Sep,11,8
36.48,2017,Sep,12,8
43.61,2017,Sep,13,8
22,2017,Sep,14,8
24.82,2017,Sep,15,8
20.43,2017,Sep,16,8
20.43,2017,Sep,17,8
20.43,2017,Sep,18,8
20.43,2017,Sep,19,8
20.42,2017,Sep,20,8
20.43,2017,Sep,21,8
20.43,2017,Sep,22,8
19.36,2017,Sep,23,8
19.43,2017,Sep,0,9
19.01,2017,Sep,1,9
18.49,2017,Sep,2,9
18.42,2017,Sep,3,9
18.28,2017,Sep,4,9
18.28,2017,Sep,5,9
18.28,2017,Sep,6,9
17.37,2017,Sep,7,9
17.07,2017,Sep,8,9
19.47,2017,Sep,9,9
20.43,2017,Sep,10,9
23.83,2017,Sep,11,9
21.3,2017,Sep,12,9
20.42,2017,Sep,13,9
18.44,2017,Sep,14,9
18.01,2017,Sep,15,9
15.41,2017,Sep,16,9
16.15,2017,Sep,17,9
17.62,2017,Sep,18,9
16.07,2017,Sep,19,9
15.33,2017,Sep,20,9
15.21,2017,Sep,21,9
15.41,2017,Sep,22,9
13.2,2017,Sep,23,9
14.47,2017,Sep,0,10
13.48,2017,Sep,1,10
13.48,2017,Sep,2,10
13.48,2017,Sep,3,10
13.17,2017,Sep,4,10
13.28,2017,Sep,5,10
13.15,2017,Sep,6,10
13.3,2017,Sep,7,10
8.46,2017,Sep,8,10
14,2017,Sep,9,10
15.59,2017,Sep,10,10
18.28,2017,Sep,11,10
18.28,2017,Sep,12,10
15.41,2017,Sep,13,10
15.41,2017,Sep,14,10
15.41,2017,Sep,15,10
15.41,2017,Sep,16,10
16.91,2017,Sep,17,10
18.28,2017,Sep,18,10
18.29,2017,Sep,19,10
18.29,2017,Sep,20,10
18.29,2017,Sep,21,10
18.29,2017,Sep,22,10
17.9,2017,Sep,23,10
15.46,2017,Sep,0,11
14,2017,Sep,1,11
13.48,2017,Sep,2,11
13.48,2017,Sep,3,11
13.48,2017,Sep,4,11
14.57,2017,Sep,5,11
13.99,2017,Sep,6,11
13.61,2017,Sep,7,11
14.12,2017,Sep,8,11
16.87,2017,Sep,9,11
18.39,2017,Sep,10,11
18.32,2017,Sep,11,11
18.3,2017,Sep,12,11
18.44,2017,Sep,13,11
19.81,2017,Sep,14,11
20.25,2017,Sep,15,11
20.43,2017,Sep,16,11
26.75,2017,Sep,17,11
27.77,2017,Sep,18,11
